,Lat_long,Most_common_sqft_binned,Most_common_hvac_heating_fuel_new,Most_common_heating_setpoint,Most_common_in.vintage,Most_common_in.occupants,Most_common_in.geometry_building_type_height,Most_common_electric_water_heater,Most_common_clothes_washer_usage_new,Most_common_cooling_setpoint,Most_common_Lighting_new,Most_common_hvac_cooling_eff_new,Most_common_in.hvac_has_ducts
0,"(24.73, -81.05)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
1,"(25.82, -80.3)",1000-1499,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
2,"(25.9, -97.43)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
3,"(26.15, -81.77)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
4,"(26.2, -80.167)",1500-1999,Electric-resistance,70,1990s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
5,"(26.23, -97.65)",1000-1499,Electric-resistance,72,1950s,1,Single-Family Detached,Electric Standard,avg,76,Incandescent,high,Yes
6,"(26.31, -98.17)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
7,"(26.53, -81.75)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,75,Incandescent,high,Yes
8,"(26.58, -81.87)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
9,"(26.68, -80.1)",1500-1999,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
10,"(27.38, -82.55)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
11,"(27.483, -80.367)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
12,"(27.5, -97.82)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
13,"(27.57, -99.49)",1500-1999,Electric-resistance,70,2000s,1,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
14,"(27.65, -80.42)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
15,"(27.68, -97.28)",1500-1999,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
16,"(27.73, -98.03)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
17,"(27.88, -97.63)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
18,"(27.9, -82.68)",1500-1999,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
19,"(27.97, -82.53)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
20,"(27.983, -82.017)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
21,"(28.08, -97.05)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
22,"(28.12, -80.65)",1500-1999,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
23,"(28.43, -81.33)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
24,"(28.45, -99.22)",1500-1999,Electric-resistance,70,1990s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
25,"(28.55, -81.33)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
26,"(28.72, -96.25)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
27,"(28.78, -81.25)",1500-1999,Electric-resistance,68,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
28,"(28.87, -96.93)",1000-1499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
29,"(29.17, -82.22)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
30,"(29.18, -81.07)",1000-1499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
31,"(29.183, -81.067)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
32,"(29.33, -98.47)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
33,"(29.37, -100.78)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
34,"(29.37, -99.17)",1000-1499,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
35,"(29.38, -100.91)",1000-1499,Electric-resistance,72,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
36,"(29.53, -98.47)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
37,"(29.53, -98.28)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
38,"(29.567, -90.667)",1500-1999,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
39,"(29.57, -95.09)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
40,"(29.65, -95.283)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
41,"(29.7, -82.283)",2000-2499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
42,"(29.7, -82.28)",1000-1499,Electric-resistance,70,1980s,1,Single-Family Detached,Electric Standard,avg,76,LED_CFL,high,Yes
43,"(29.72, -91.33)",1000-1499,Electric-resistance,68,1960s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
44,"(29.82, -90.02)",1500-1999,Electric-resistance,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
45,"(29.95, -94.02)",1500-1999,Electric-resistance,70,1960s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
46,"(30.0, -95.37)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
47,"(30.0, -90.25)",1500-1999,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
48,"(30.033, -91.883)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,76,LED_CFL,avg,Yes
49,"(30.05, -90.03)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
50,"(30.07, -95.55)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
51,"(30.07, -85.58)",2500-3499,Electric-HP,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
52,"(30.12, -93.23)",1000-1499,Electric-resistance,68,1950s,1,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
53,"(30.2, -91.98)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
54,"(30.2, -85.68)",1000-1499,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
55,"(30.22, -93.17)",1500-1999,Electric-resistance,72,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
56,"(30.23, -81.67)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
57,"(30.29, -97.74)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
58,"(30.32, -97.77)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
59,"(30.37, -104.02)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
60,"(30.38, -84.37)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
61,"(30.4, -89.07)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
62,"(30.4, -89.067)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
63,"(30.42, -88.92)",1000-1499,Electric-resistance,75,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
64,"(30.48, -87.18)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
65,"(30.48, -86.52)",1000-1499,Electric-resistance,68,1990s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
66,"(30.5, -81.7)",1500-1999,Electric-resistance,72,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
67,"(30.53, -91.15)",1500-1999,Electric-resistance,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
68,"(30.533, -91.15)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
69,"(30.58, -96.37)",1000-1499,Electric-resistance,55,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
70,"(30.583, -96.367)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
71,"(30.633, -88.067)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
72,"(30.68, -97.68)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
73,"(30.68, -88.25)",1500-1999,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
74,"(30.78, -83.28)",1000-1499,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
75,"(30.97, -83.2)",1000-1499,Electric-resistance,72,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
76,"(31.05, -93.18)",1000-1499,Non-electric,55,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
77,"(31.07, -97.83)",1500-1999,Electric-resistance,55,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
78,"(31.08, -97.68)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,76,LED_CFL,avg,Yes
79,"(31.133, -97.717)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,78,Incandescent,avg,Yes
80,"(31.15, -97.4)",2000-2499,Non-electric,55,1990s,2,Single-Family Detached,Electric Standard,high,75,LED_CFL,avg,Yes
81,"(31.23, -94.75)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
82,"(31.23, -90.47)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
83,"(31.23, -85.43)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
84,"(31.25, -81.467)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
85,"(31.27, -85.72)",1000-1499,Electric-resistance,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
86,"(31.32, -92.55)",1000-1499,Electric-resistance,72,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
87,"(31.35, -100.5)",1000-1499,Electric-resistance,55,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
88,"(31.4, -92.3)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
89,"(31.467, -109.6)",2000-2499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
90,"(31.47, -109.6)",1000-1499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
91,"(31.47, -89.33)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,high,Yes
92,"(31.48, -97.32)",1000-1499,Electric-resistance,75,1990s,1,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
93,"(31.53, -84.18)",1000-1499,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
94,"(31.53, -82.5)",1000-1499,Electric-resistance,72,1960s,2,Single-Family Detached,Electric Standard,avg,76,LED_CFL,avg,Yes
95,"(31.533, -82.5)",1000-1499,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
96,"(31.58, -94.72)",1000-1499,Electric-resistance,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
97,"(31.62, -97.23)",1500-1999,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
98,"(31.62, -91.3)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
99,"(31.77, -106.5)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
100,"(31.78, -103.2)",1000-1499,Non-electric,55,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
101,"(31.867, -86.017)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
102,"(31.95, -102.18)",1000-1499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
103,"(32.0, -81.15)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
104,"(32.12, -81.2)",1500-1999,Electric-resistance,70,1980s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,high,Yes
105,"(32.13, -110.95)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
106,"(32.25, -107.717)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
107,"(32.283, -106.917)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
108,"(32.29, -94.98)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
109,"(32.3, -86.4)",1500-1999,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
110,"(32.32, -90.08)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
111,"(32.33, -104.27)",1500-1999,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
112,"(32.33, -88.75)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
113,"(32.35, -95.4)",1500-1999,Electric-resistance,68,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
114,"(32.35, -85.0)",1000-1499,Electric-resistance,68,1950s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,high,Yes
115,"(32.38, -86.35)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
116,"(32.45, -93.82)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
117,"(32.47, -99.71)",1000-1499,Non-electric,55,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
118,"(32.48, -80.72)",2500-3499,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
119,"(32.5, -93.67)",1500-1999,Non-electric,68,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
120,"(32.52, -92.03)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
121,"(32.52, -84.95)",1000-1499,Non-electric,68,1960s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
122,"(32.55, -88.57)",1000-1499,Non-electric,70,1970s,1,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
123,"(32.62, -85.43)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
124,"(32.63, -83.6)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
125,"(32.67, -114.6)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
126,"(32.68, -96.87)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
127,"(32.68, -83.65)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
128,"(32.77, -97.45)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
129,"(32.783, -98.067)",1000-1499,Electric-resistance,55,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
130,"(32.817, -97.367)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
131,"(32.82, -109.68)",1500-1999,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,76,LED_CFL,avg,Yes
132,"(32.83, -115.58)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
133,"(32.85, -106.1)",1000-1499,Non-electric,55,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
134,"(32.85, -96.85)",1500-1999,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
135,"(32.87, -117.13)",1500-1999,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
136,"(32.9, -97.02)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
137,"(32.9, -80.03)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
138,"(32.95, -111.77)",2500-3499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,high,Yes
139,"(32.967, -96.833)",2500-3499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
140,"(32.98, -97.32)",1000-1499,Non-electric,70,1980s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
141,"(33.067, -96.067)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
142,"(33.22, -92.82)",1000-1499,Non-electric,70,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
143,"(33.22, -87.62)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
144,"(33.23, -107.27)",1500-1999,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
145,"(33.3, -104.53)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
146,"(33.37, -81.97)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
147,"(33.45, -111.98)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,high,Yes
148,"(33.45, -94.0)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
149,"(33.45, -88.58)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,Incandescent,avg,Yes
150,"(33.47, -105.53)",1000-1499,Non-electric,55,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
151,"(33.483, -90.983)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
152,"(33.5, -90.083)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
153,"(33.5, -90.08)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
154,"(33.57, -86.75)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
155,"(33.58, -85.85)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
156,"(33.62, -114.72)",1000-1499,Electric-resistance,70,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,high,Yes
157,"(33.63, -95.45)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
158,"(33.63, -84.43)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
159,"(33.65, -88.45)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,low,72,LED_CFL,avg,Yes
160,"(33.67, -101.82)",1000-1499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
161,"(33.68, -78.93)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
162,"(33.683, -117.867)",1500-1999,Non-electric,70,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
163,"(33.77, -84.52)",1500-1999,Non-electric,72,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
164,"(33.817, -78.717)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
165,"(33.87, -84.3)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
166,"(33.9, -117.25)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
167,"(33.92, -118.33)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
168,"(33.92, -84.52)",1500-1999,Non-electric,68,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
169,"(33.95, -117.45)",1500-1999,Non-electric,70,1980s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
170,"(33.95, -83.33)",1000-1499,Electric-resistance,68,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
171,"(33.95, -81.12)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
172,"(33.97, -86.08)",1000-1499,Electric-resistance,68,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
173,"(33.97, -80.47)",1500-1999,Electric-resistance,70,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
174,"(33.98, -98.5)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
175,"(34.17, -91.93)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
176,"(34.18, -79.73)",1000-1499,Electric-resistance,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
177,"(34.22, -119.08)",1500-1999,Non-electric,68,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
178,"(34.267, -110.0)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,high,78,LED_CFL,high,Yes
179,"(34.27, -88.77)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
180,"(34.27, -77.9)",1500-1999,Electric-resistance,55,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,high,Yes
181,"(34.35, -85.17)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
182,"(34.38, -103.32)",1000-1499,Non-electric,70,1950s,1,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
183,"(34.43, -119.85)",1500-1999,Non-electric,68,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
184,"(34.43, -103.08)",1000-1499,Non-electric,70,1950s,1,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,high,Yes
185,"(34.43, -100.28)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Electric Standard,avg,78,LED_CFL,avg,Yes
186,"(34.433, -100.283)",1000-1499,Non-electric,68,1960s,2,Single-Family Detached,Electric Standard,avg,70,Incandescent,avg,Yes
187,"(34.467, -93.1)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
188,"(34.5, -82.72)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
189,"(34.5, -82.717)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
190,"(34.57, -98.42)",1500-1999,Non-electric,55,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,70,Incandescent,avg,Yes
191,"(34.6, -91.57)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
192,"(34.65, -112.42)",2500-3499,Non-electric,55,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,78,LED_CFL,avg,Yes
193,"(34.65, -99.27)",1000-1499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
