,Lat_long,Most_common_sqft_binned,Most_common_hvac_heating_fuel_new,Most_common_heating_setpoint,Most_common_in.vintage,Most_common_in.occupants,Most_common_in.geometry_building_type_height,Most_common_electric_water_heater,Most_common_clothes_washer_usage_new,Most_common_cooling_setpoint,Most_common_Lighting_new,Most_common_hvac_cooling_eff_new,Most_common_in.hvac_has_ducts
636,"(42.833, -103.083)",1500-1999,Non-electric,70,1940s,2,Single-Family Detached,Non-electric Water Heater,high,72,LED_CFL,avg,Yes
637,"(42.87, -100.55)",1500-1999,Non-electric,55,1960s,1,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
638,"(42.88, -85.52)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
639,"(42.9, -106.47)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
640,"(42.9, -72.27)",2000-2499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
641,"(42.92, -112.57)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
642,"(42.92, -97.38)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
643,"(42.92, -82.53)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
644,"(42.93, -78.73)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
645,"(42.93, -71.43)",2500-3499,Non-electric,68,1980s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
646,"(42.95, -87.9)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
647,"(42.97, -83.75)",1000-1499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
648,"(42.983, -96.067)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
649,"(43.05, -115.87)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
650,"(43.05, -108.45)",1500-1999,Non-electric,68,1980s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
651,"(43.07, -92.62)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
652,"(43.08, -70.82)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
653,"(43.083, -94.267)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
654,"(43.1, -78.95)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
655,"(43.12, -77.68)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
656,"(43.12, -76.1)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
657,"(43.13, -89.33)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
658,"(43.15, -93.33)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
659,"(43.15, -75.38)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
660,"(43.17, -95.15)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
661,"(43.17, -88.72)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
662,"(43.17, -86.23)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
663,"(43.2, -90.183)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
664,"(43.2, -71.5)",2000-2499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
665,"(43.217, -95.833)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
666,"(43.233, -123.35)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
667,"(43.283, -91.733)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
668,"(43.35, -73.62)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
669,"(43.35, -73.617)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
670,"(43.35, -72.52)",2000-2499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
671,"(43.4, -94.75)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
672,"(43.4, -70.72)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
673,"(43.42, -124.25)",1500-1999,Electric-resistance,70,1960s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
674,"(43.5, -114.3)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
675,"(43.52, -119.02)",1000-1499,Non-electric,70,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
676,"(43.52, -112.07)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
677,"(43.52, -72.95)",2000-2499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
678,"(43.53, -84.08)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
679,"(43.57, -71.42)",2500-3499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
680,"(43.58, -96.75)",2500-3499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
681,"(43.6, -110.73)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
682,"(43.62, -116.21)",2500-3499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
683,"(43.63, -116.63)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
684,"(43.63, -72.3)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
685,"(43.65, -95.58)",2000-2499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
686,"(43.65, -94.42)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
687,"(43.65, -70.3)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
688,"(43.67, -92.93)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
689,"(43.68, -93.37)",2500-3499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
690,"(43.77, -98.03)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
691,"(43.87, -91.25)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
692,"(43.9, -92.5)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
